gid,latitude,longitude,google_maps_link,vacancy_score,vacancy_subscore,vacancy_subscore_v1,road_subscore,healthcare_subscore,education_subscore,lifestyle_subscore,essential_services_subscore,urban_percentage,water_percentage,other_percentage,healthcare_count_1km,education_count_1km,lifestyle_count_1km
2814,17.563989519786876,78.14226647241534,"https://www.google.com/maps?q=17.563990,78.142266",100.0,100.0,6.54,53.34,38.02,0.0,59.01,0.0,0.0,0.0,0.0,0,0,0
2815,17.566851312332933,78.14222152513744,"https://www.google.com/maps?q=17.566851,78.142222",100.0,100.0,19.73,54.84,37.59,0.0,59.74,0.0,0.0,0.0,0.0,0,0,0
2816,17.56971310394102,78.14217656935455,"https://www.google.com/maps?q=17.569713,78.142177",100.0,100.0,36.0,56.34,37.1,0.0,60.43,0.0,0.0,0.0,0.0,0,0,0
2817,17.572574894611,78.14213160506601,"https://www.google.com/maps?q=17.572575,78.142132",100.0,100.0,20.22,71.17,36.56,0.0,61.07,0.0,0.0,0.0,0.0,0,0,0
2818,17.57543668434273,78.14208663227119,"https://www.google.com/maps?q=17.575437,78.142087",100.0,100.0,11.59,73.66,35.98,0.0,61.64,0.0,0.0,0.0,0.0,0,0,0
2819,17.578298473136062,78.1420416509695,"https://www.google.com/maps?q=17.578298,78.142042",76.07422,76.07422,5.67,74.35,35.35,0.0,62.14,0.0,23.925781,0.0,0.0,0,0,0
2820,17.581160260990863,78.14199666116029,"https://www.google.com/maps?q=17.581160,78.141997",100.0,100.0,6.17,71.54,34.68,0.0,62.55,0.0,0.0,0.0,0.0,0,0,0
2821,17.58402204790701,78.14195166284297,"https://www.google.com/maps?q=17.584022,78.141952",100.0,100.0,0.12,57.88,33.97,0.0,62.85,0.0,0.0,0.0,0.0,0,0,0
2822,17.586883833884333,78.1419066560169,"https://www.google.com/maps?q=17.586884,78.141907",100.0,100.0,3.21,57.02,33.22,0.0,63.03,0.0,0.0,0.0,0.0,0,0,0
2823,17.589745618922702,78.14186164068146,"https://www.google.com/maps?q=17.589746,78.141862",100.0,100.0,16.77,57.32,32.44,0.0,63.09,0.0,0.0,0.0,0.0,0,0,0
2824,17.592607403021997,78.14181661683601,"https://www.google.com/maps?q=17.592607,78.141817",100.0,100.0,19.85,55.68,31.62,0.0,63.01,0.0,0.0,0.0,0.0,0,0,0
2825,17.59546918618205,78.14177158447994,"https://www.google.com/maps?q=17.595469,78.141772",100.0,100.0,17.39,56.65,30.78,0.0,62.8,0.0,0.0,0.0,0.0,0,0,0
2826,17.598330968402735,78.14172654361266,"https://www.google.com/maps?q=17.598331,78.141727",100.0,100.0,5.92,57.26,29.9,0.0,62.47,0.0,0.0,0.0,0.0,0,0,0
2827,17.601192749683918,78.14168149423351,"https://www.google.com/maps?q=17.601193,78.141681",100.0,100.0,12.45,56.87,29.0,0.0,62.04,0.0,0.0,0.0,0.0,0,0,0
2828,17.604054530025444,78.14163643634186,"https://www.google.com/maps?q=17.604055,78.141636",100.0,100.0,6.04,55.15,28.07,0.0,61.52,0.0,0.0,0.0,0.0,0,0,0
2834,17.194852594584823,78.15097108352154,"https://www.google.com/maps?q=17.194853,78.150971",100.0,100.0,10.11,2.18,16.48,0.0,16.53,0.0,0.0,0.0,0.0,0,0,0
2835,17.19771451439005,78.15092727386993,"https://www.google.com/maps?q=17.197715,78.150927",100.0,100.0,7.4,7.64,17.85,0.0,16.86,0.0,0.0,0.0,0.0,0,0,0
2836,17.200576433275614,78.150883455801,"https://www.google.com/maps?q=17.200576,78.150883",100.0,100.0,7.89,9.15,19.21,0.0,17.17,0.0,0.0,0.0,0.0,0,0,0
2837,17.203438351241367,78.15083962931413,"https://www.google.com/maps?q=17.203438,78.150840",100.0,100.0,14.06,10.65,20.58,0.0,17.46,0.0,0.0,0.0,0.0,0,0,0
